ocorrencia_id;data;hora;horario;status_operacao;movimento;estacoes_afetadas;descricao;impacto_usuarios;dados_sinteticos
OC-00;2026-09-01;0;00:00;fechado;sem_servico;toda a linha;Linha 7-Rubi sem operação e sem demanda de passageiros em estação.;usuários devem reagendar a viagem e evitar deslocamento.;True
OC-01;2026-09-01;1;01:00;fechado;sem_servico;toda a linha;Linha 7-Rubi sem operação e sem demanda de passageiros em estação.;usuários devem reagendar a viagem e evitar deslocamento.;True
OC-02;2026-09-01;2;02:00;fechado;sem_servico;toda a linha;Linha 7-Rubi sem operação e sem demanda de passageiros em estação.;usuários devem reagendar a viagem e evitar deslocamento.;True
OC-03;2026-09-01;3;03:00;fechado;sem_servico;toda a linha;Linha 7-Rubi sem operação e sem demanda de passageiros em estação.;usuários devem reagendar a viagem e evitar deslocamento.;True
OC-04;2026-09-01;4;04:00;operacao_inicial;baixo;toda a linha;Operação inicial com trens esparsos e baixa demanda antes dos horários de pico.;Passageiros com rotina muito cedo podem encontrar trens menos frequentes.;True
OC-05;2026-09-01;5;05:00;operacao_inicial;baixo;toda a linha;Operação inicial com trens esparsos e baixa demanda antes dos horários de pico.;Passageiros com rotina muito cedo podem encontrar trens menos frequentes.;True
OC-06;2026-09-01;6;06:00;normal;alto;"Palmeiras-Barra Funda; Lapa; Pirituba; Jundiaí";Horário de pico com maior concentração de passageiros e trens mais cheios.;A demanda aumenta em origem e destino dos deslocamentos de trabalho e estudo.;True
OC-07;2026-09-01;7;07:00;normal;alto;"Palmeiras-Barra Funda; Lapa; Pirituba; Jundiaí";Horário de pico com maior concentração de passageiros e trens mais cheios.;A demanda aumenta em origem e destino dos deslocamentos de trabalho e estudo.;True
OC-08;2026-09-01;8;08:00;normal;alto;"Palmeiras-Barra Funda; Lapa; Pirituba; Jundiaí";Horário de pico com maior concentração de passageiros e trens mais cheios.;A demanda aumenta em origem e destino dos deslocamentos de trabalho e estudo.;True
OC-09;2026-09-01;9;09:00;normal;baixo;toda a linha;Serviço funcionando em operação normal com menor movimento e viagens mais previsíveis.;Muitas rotinas de trabalho e estudo já estão em andamento, mas a linha segue estável.;True
OC-10;2026-09-01;10;10:00;normal;baixo;toda a linha;Serviço funcionando em operação normal com menor movimento e viagens mais previsíveis.;Muitas rotinas de trabalho e estudo já estão em andamento, mas a linha segue estável.;True
OC-11;2026-09-01;11;11:00;normal;baixo;toda a linha;Serviço funcionando em operação normal com menor movimento e viagens mais previsíveis.;Muitas rotinas de trabalho e estudo já estão em andamento, mas a linha segue estável.;True
OC-12;2026-09-01;12;12:00;normal;baixo;toda a linha;Serviço funcionando em operação normal com menor movimento e viagens mais previsíveis.;Muitas rotinas de trabalho e estudo já estão em andamento, mas a linha segue estável.;True
OC-13;2026-09-01;13;13:00;restricao_operacional;moderado;"Vila Aurora; Perus; Caieiras";Queda de energia em estações selecionadas aumenta o tempo de embarque e exige atenção às informações da operação.;Usuários com rotina de almoço ou deslocamento intermediante podem sofrer atrasos e necessidade de apoio extra.;True
OC-14;2026-09-01;14;14:00;normal;moderado;toda a linha;Recuperação do serviço e movimentação moderada, com ajuste do fluxo de passageiros.;A operação volta a ficar previsível, mas ainda há necessidade de atenção em estações centrais.;True
OC-15;2026-09-01;15;15:00;normal;moderado;toda a linha;Recuperação do serviço e movimentação moderada, com ajuste do fluxo de passageiros.;A operação volta a ficar previsível, mas ainda há necessidade de atenção em estações centrais.;True
OC-16;2026-09-01;16;16:00;normal;alto;"Palmeiras-Barra Funda; Lapa; Água Branca; Várzea Paulista";Pico vespertino com maior densidade de passageiros e filas maiores nas estações mais centrais.;A linha fica mais intensa para quem trabalha no fim do expediente ou retorna para casa.;True
OC-17;2026-09-01;17;17:00;normal;alto;"Palmeiras-Barra Funda; Lapa; Água Branca; Várzea Paulista";Pico vespertino com maior densidade de passageiros e filas maiores nas estações mais centrais.;A linha fica mais intensa para quem trabalha no fim do expediente ou retorna para casa.;True
OC-18;2026-09-01;18;18:00;normal;alto;"Palmeiras-Barra Funda; Lapa; Água Branca; Várzea Paulista";Pico vespertino com maior densidade de passageiros e filas maiores nas estações mais centrais.;A linha fica mais intensa para quem trabalha no fim do expediente ou retorna para casa.;True
OC-19;2026-09-01;19;19:00;normal;moderado;toda a linha;Operação normal com movimento reduzido em comparação ao pico, mas ainda frequente.;Usuários de lazer e retorno doméstico ainda encontram trens em uso contínuo.;True
OC-20;2026-09-01;20;20:00;normal;moderado;toda a linha;Operação normal com movimento reduzido em comparação ao pico, mas ainda frequente.;Usuários de lazer e retorno doméstico ainda encontram trens em uso contínuo.;True
OC-21;2026-09-01;21;21:00;normal;moderado;toda a linha;Operação normal com movimento reduzido em comparação ao pico, mas ainda frequente.;Usuários de lazer e retorno doméstico ainda encontram trens em uso contínuo.;True
OC-22;2026-09-01;22;22:00;normal;baixo;toda a linha;Horário final de operação com baixa demanda e acabamento do serviço diário.;Rota de retorno doméstico torna-se mais tranquila, mas o último trem deve ser considerado.;True
OC-23;2026-09-01;23;23:00;normal;baixo;toda a linha;Horário final de operação com baixa demanda e acabamento do serviço diário.;Rota de retorno doméstico torna-se mais tranquila, mas o último trem deve ser considerado.;True
